PX_LAST,ID_ISIN,TICKER,CRNCY,NAME,EXCH_CODE,ID_BB_UNIQUE,ID_BB_GLOBAL,ID_CUSIP,SECURITY_TYP,MATURITY,CPN,COUNTRY,PRIMARY_EXCHANGE_NAME,INDUSTRY_SECTOR,INDUSTRY_GROUP,INDUSTRY_SUBGROUP,INDUSTRY_SECTOR_NUM,INDUSTRY_GROUP_NUM,INDUSTRY_SUBGROUP_NUM,PARENT_COMP_NAME,PARENT_TICKER,EQY_PRIM_SECURITY_TICKER,EQY_PRIM_SECURITY_PRIM_EXCH
255.25,US88160R1014,TSLA,USD,TESLA INC,US,EQ0000000003531703,BBG000N9MNX3,88160R101,Common Stock,,,US,NASDAQ GS,"Consumer, Cyclical",Auto Manufacturers,Auto-Cars/Light Trucks,10004,20020,25,,,TSLA,UW
143.69,US7475251036,QCOM,USD,QUALCOMM INC,US,EQ0010637000001000,BBG000CGC1X8,747525103,Common Stock,,,US,NASDAQ GS,Technology,Semiconductors,Semicon Compo-Intg Circu,10013,20108,658,,,QCOM,UW
223.16,US5486611073,LOW,USD,LOWE'S COS INC,US,EQ0010091600001000,BBG000BNDN65,548661107,Common Stock,,,US,New York,"Consumer, Cyclical",Retail,Retail-Building Products,10004,20031,55,,,LOW,UN
435.323,US78409V1044,SPGI,USD,S&P GLOBAL INC,US,EQ0010096200001000,BBG000BP1Q11,78409V104,Common Stock,,,US,New York,"Consumer, Non-cyclical",Commercial Services,Commercial Serv-Finance,10005,20038,280,,,SPGI,UN
